GEO ID 1,GEO ID 2,CENSUS TRACT,Neighborhood (NB) label,Tract population,NB population,Tract # below poverty line,NB # below poverty line,Tract poverty %,NB poverty %,Tract # over 65,NB 65+,Tract 65+ %,NB 65+ %,Case rate May 10,Case rate May 9,Case rate May 8,Case rate May 7
1000100,11001000100,1,N23: GEORGETOWN EAST,"5,160","14,602",290,"1,528",5.6,10.5,864,"2,353",16.7,16.1,4.6,4.5,4.4,4.3
1000201,11001000201,2.01,N22: GEORGETOWN,"3,817","8,358",0,599,0,7.2,0,867,0,10.4,1.6,1.6,1.6,1.6
1000202,11001000202,2.02,N22: GEORGETOWN,"4,541","8,358",599,599,13.2,7.2,867,867,19.1,10.4,1.6,1.6,1.6,1.6
1000300,11001000300,3,N10: CATHEDRAL HEIGHTS,"6,334","19,081","1,100","3,025",17.4,15.9,490,"2,693",7.7,14.1,2.9,2.9,2.8,2.8
1000400,11001000400,4,N50: WOODLEY PARK,"1,428","13,313",131,663,9.2,5,320,"2,436",22.4,18.3,3.4,3.4,3.3,3.2
1000501,11001000501,5.01,N50: WOODLEY PARK,"3,545","13,313",166,663,4.7,5,487,"2,436",13.7,18.3,3.4,3.4,3.3,3.2
1000502,11001000502,5.02,N50: WOODLEY PARK,"3,371","13,313",114,663,3.4,5,574,"2,436",17,18.3,3.4,3.4,3.3,3.2
1000600,11001000600,6,N50: WOODLEY PARK,"4,969","13,313",252,663,5.1,5,"1,055","2,436",21.2,18.3,3.4,3.4,3.3,3.2
1000701,11001000701,7.01,N10: CATHEDRAL HEIGHTS,"5,873","19,081",776,"3,025",13.2,15.9,"1,602","2,693",27.3,14.1,2.9,2.9,2.8,2.8
1000702,11001000702,7.02,N10: CATHEDRAL HEIGHTS,"3,355","19,081",422,"3,025",12.6,15.9,325,"2,693",9.7,14.1,2.9,2.9,2.8,2.8
1000801,11001000801,8.01,N27: KENT/PALISADES,"6,426","20,005",812,"1,462",12.6,7.3,"1,248","3,238",19.4,16.2,3.7,3.7,3.7,3.6
1000802,11001000802,8.02,N27: KENT/PALISADES,"3,567","20,005",370,"1,462",10.4,7.3,406,"3,238",11.4,16.2,3.7,3.7,3.7,3.6
1000901,11001000901,9.01,N27: KENT/PALISADES,"7,448","20,005",225,"1,462",3,7.3,"1,122","3,238",15.1,16.2,3.7,3.7,3.7,3.6
1000902,11001000902,9.02,N27: KENT/PALISADES,"2,564","20,005",55,"1,462",2.1,7.3,462,"3,238",18,16.2,3.7,3.7,3.7,3.6
1001001,11001001001,10.01,N44: TENLEYTOWN,"7,742","18,099",358,811,4.6,4.5,"1,417","3,115",18.3,17.2,6.3,6.2,6.1,6.1
1001002,11001001002,10.02,N10: CATHEDRAL HEIGHTS,"3,519","19,081",727,"3,025",20.7,15.9,276,"2,693",7.8,14.1,2.9,2.9,2.8,2.8
1001100,11001001100,11,N44: TENLEYTOWN,"5,110","18,099",230,811,4.5,4.5,"1,064","3,115",20.8,17.2,6.3,6.2,6.1,6.1
1001200,11001001200,12,N44: TENLEYTOWN,"5,247","18,099",223,811,4.3,4.5,634,"3,115",12.1,17.2,6.3,6.2,6.1,6.1
1001301,11001001301,13.01,N19: FOREST HILLS,"4,133","11,756",179,956,4.3,8.1,686,"2,142",16.6,18.2,3.1,3.1,3.1,3
1001302,11001001302,13.02,N19: FOREST HILLS,"7,623","11,756",777,956,10.2,8.1,"1,456","2,142",19.1,18.2,3.1,3.1,3.1,3
1001401,11001001401,14.01,N11: CHEVY CHASE,"3,548","6,991",171,391,4.8,5.6,605,"1,472",17.1,21.1,4.9,4.7,4.6,4.6
1001402,11001001402,14.02,N11: CHEVY CHASE,"3,443","6,991",220,391,6.4,5.6,867,"1,472",25.2,21.1,4.9,4.7,4.6,4.6
1001500,11001001500,15,N3: BARNABY WOODS,"6,186","6,186",165,165,2.7,2.7,"1,403","1,403",22.7,22.7,4.8,4.8,5,4.8
1001600,11001001600,16,N40: SHEPHERD PARK,"4,688","8,696",120,502,2.6,5.8,962,"1,520",20.5,17.5,14.1,13.1,12.8,12.4
1001702,11001001702,17.02,N7: BRIGHTWOOD,"3,346","17,868",163,"3,040",4.9,17,483,"2,172",14.4,12.2,16.6,16.5,15.8,15.2
1001803,11001001803,18.03,N7: BRIGHTWOOD,"4,328","17,868",979,"3,040",22.6,17,425,"2,172",9.8,12.2,16.6,16.5,15.8,15.2
1001804,11001001804,18.04,N7: BRIGHTWOOD,"5,879","17,868","1,419","3,040",24.1,17,661,"2,172",11.2,12.2,16.6,16.5,15.8,15.2
1001901,11001001901,19.01,N7: BRIGHTWOOD,"4,315","17,868",479,"3,040",11.1,17,603,"2,172",14,12.2,16.6,16.5,15.8,15.2
1001902,11001001902,19.02,N29: LAMOND RIGGS,"2,605","11,667",247,"1,358",9.5,11.6,452,"2,238",17.4,19.2,12.5,12.2,11.4,10.9
1002001,11001002001,20.01,N1: 16th ST HEIGHTS,"3,502","20,131",453,"2,392",12.9,11.9,510,"2,760",14.6,13.7,16.2,15.8,15.4,14.5
1002002,11001002002,20.02,N1: 16th ST HEIGHTS,"4,304","20,131",390,"2,392",9.1,11.9,540,"2,760",12.5,13.7,16.2,15.8,15.4,14.5
1002101,11001002101,21.01,N8: BRIGHTWOOD PARK,"5,050","10,273",612,"1,473",12.1,14.3,797,"1,610",15.8,15.7,20.4,20,19.2,18.2
1002102,11001002102,21.02,N8: BRIGHTWOOD PARK,"5,223","10,273",861,"1,473",16.5,14.3,813,"1,610",15.6,15.7,20.4,20,19.2,18.2
1002201,11001002201,22.01,N38: PETWORTH,"3,169","14,450",243,"1,174",7.7,8.1,460,"1,685",14.5,11.7,12.9,12.5,12.2,11.6
1002202,11001002202,22.02,N38: PETWORTH,"3,476","14,450",321,"1,174",9.2,8.1,352,"1,685",10.1,11.7,12.9,12.5,12.2,11.6
1002301,11001002301,23.01,N38: PETWORTH,"3,599","14,450",232,"1,174",6.4,8.1,424,"1,685",11.8,11.7,12.9,12.5,12.2,11.6
1002302,11001002302,23.02,N15: DC MEDICAL CENTER,"1,670","1,670",264,264,15.8,15.8,556,556,33.3,33.3,9,9,9,9
1002400,11001002400,24,N38: PETWORTH,"4,206","14,450",378,"1,174",9,8.1,449,"1,685",10.7,11.7,12.9,12.5,12.2,11.6
1002501,11001002501,25.01,N1: 16th ST HEIGHTS,"3,289","20,131",455,"2,392",13.8,11.9,489,"2,760",14.9,13.7,16.2,15.8,15.4,14.5
1002502,11001002502,25.02,N1: 16th ST HEIGHTS,"6,451","20,131",935,"2,392",14.5,11.9,751,"2,760",11.6,13.7,16.2,15.8,15.4,14.5
1002600,11001002600,26,N1: 16th ST HEIGHTS,"2,585","20,131",159,"2,392",6.2,11.9,470,"2,760",18.2,13.7,16.2,15.8,15.4,14.5
1002701,11001002701,27.01,N34: MOUNT PLEASANT,"6,183","12,446",936,"1,631",15.1,13.1,605,830,9.8,6.7,14.6,14.5,14.1,13.6
1002702,11001002702,27.02,N34: MOUNT PLEASANT,"6,263","12,446",695,"1,631",11.1,13.1,225,830,3.6,6.7,14.6,14.5,14.1,13.6
1002801,11001002801,28.01,N13: COLUMBIA HEIGHTS,"4,151","26,361",943,"4,471",22.7,17,234,"1,850",5.6,7,13.4,13.2,12.7,11.8
1002802,11001002802,28.02,N13: COLUMBIA HEIGHTS,"5,172","26,361","1,097","4,471",21.2,17,323,"1,850",6.2,7,13.4,13.2,12.7,11.8
1002900,11001002900,29,N13: COLUMBIA HEIGHTS,"4,424","26,361",465,"4,471",10.5,17,206,"1,850",4.7,7,13.4,13.2,12.7,11.8
1003000,11001003000,30,N13: COLUMBIA HEIGHTS,"3,719","26,361",828,"4,471",22.3,17,253,"1,850",6.8,7,13.4,13.2,12.7,11.8
1003100,11001003100,31,N13: COLUMBIA HEIGHTS,"3,409","26,361",301,"4,471",8.8,17,252,"1,850",7.4,7,13.4,13.2,12.7,11.8
1003200,11001003200,32,N13: COLUMBIA HEIGHTS,"5,486","26,361",837,"4,471",15.3,17,582,"1,850",10.6,7,13.4,13.2,12.7,11.8
1003301,11001003301,33.01,N5: BLOOMINGDALE,"4,219","14,980",287,"1,613",6.8,10.8,398,"1,536",9.4,10.3,5.9,5.9,5.7,5.6
1003302,11001003302,33.02,N5: BLOOMINGDALE,"2,308","14,980",243,"1,613",10.5,10.8,164,"1,536",7.1,10.3,5.9,5.9,5.7,5.6
1003400,11001003400,34,N47: U ST/PLEASANT,"4,911","19,902",458,"1,662",9.3,8.4,244,"1,346",5,6.8,5.9,5.7,5.5,5.4
1003500,11001003500,35,N47: U ST/PLEASANT,"5,173","19,902",527,"1,662",10.2,8.4,248,"1,346",4.8,6.8,5.9,5.7,5.5,5.4
1003600,11001003600,36,N41: SOUTH COLUMBIA HEIGHTS,"4,904","10,365",927,"2,405",18.9,23.2,333,680,6.8,6.6,11.4,11.2,10.9,10.7
1003700,11001003700,37,N41: SOUTH COLUMBIA HEIGHTS,"5,461","10,365","1,478","2,405",27.1,23.2,347,680,6.4,6.6,11.4,11.2,10.9,10.7
1003800,11001003800,38,N2: ADAMS MORGAN,"5,140","23,753",397,"1,037",7.7,4.4,496,"2,220",9.6,9.3,4.3,4.3,4.2,4.1
1003900,11001003900,39,N2: ADAMS MORGAN,"4,585","23,753",202,"1,037",4.4,4.4,439,"2,220",9.6,9.3,4.3,4.3,4.2,4.1
1004001,11001004001,40.01,N2: ADAMS MORGAN,"4,884","23,753",130,"1,037",2.7,4.4,471,"2,220",9.6,9.3,4.3,4.3,4.2,4.1
1004002,11001004002,40.02,N2: ADAMS MORGAN,"3,048","23,753",110,"1,037",3.6,4.4,285,"2,220",9.4,9.3,4.3,4.3,4.2,4.1
1004100,11001004100,41,N23: GEORGETOWN EAST,"2,541","14,602",115,"1,528",4.5,10.5,547,"2,353",21.5,16.1,4.6,4.5,4.4,4.3
1004201,11001004201,42.01,N2: ADAMS MORGAN,"3,692","23,753",79,"1,037",2.1,4.4,181,"2,220",4.9,9.3,4.3,4.3,4.2,4.1
1004202,11001004202,42.02,N2: ADAMS MORGAN,"2,404","23,753",119,"1,037",5,4.4,348,"2,220",14.5,9.3,4.3,4.3,4.2,4.1
1004300,11001004300,43,N47: U ST/PLEASANT,"4,076","19,902",252,"1,662",6.2,8.4,404,"1,346",9.9,6.8,5.9,5.7,5.5,5.4
1004400,11001004400,44,N47: U ST/PLEASANT,"5,742","19,902",425,"1,662",7.4,8.4,450,"1,346",7.8,6.8,5.9,5.7,5.5,5.4
1004600,11001004600,46,N5: BLOOMINGDALE,"3,031","14,980",428,"1,613",14.1,10.8,383,"1,536",12.6,10.3,5.9,5.9,5.7,5.6
1004701,11001004701,47.01,N12: CHINATOWN,"4,630","20,482","1,244","3,814",26.9,18.6,461,"1,983",10,9.7,12.7,12.6,12.5,12.6
1004702,11001004702,47.02,N12: CHINATOWN,"3,320","20,482",363,"3,814",10.9,18.6,365,"1,983",11,9.7,12.7,12.6,12.5,12.6
1004801,11001004801,48.01,N31: LOGAN CIRCLE/SHAW,"2,900","28,520",185,"3,020",6.4,10.6,283,"2,039",9.8,7.1,7.6,7.5,7.3,7.2
1004802,11001004802,48.02,N12: CHINATOWN,"3,777","20,482",701,"3,814",18.6,18.6,368,"1,983",9.7,9.7,12.7,12.6,12.5,12.6
1004901,11001004901,49.01,N31: LOGAN CIRCLE/SHAW,"3,115","28,520",407,"3,020",13.1,10.6,283,"2,039",9.1,7.1,7.6,7.5,7.3,7.2
1004902,11001004902,49.02,N31: LOGAN CIRCLE/SHAW,"3,256","28,520",607,"3,020",18.6,10.6,174,"2,039",5.3,7.1,7.6,7.5,7.3,7.2
1005001,11001005001,50.01,N31: LOGAN CIRCLE/SHAW,"2,071","28,520",221,"3,020",10.7,10.6,115,"2,039",5.6,7.1,7.6,7.5,7.3,7.2
1005002,11001005002,50.02,N31: LOGAN CIRCLE/SHAW,"5,860","28,520",635,"3,020",10.8,10.6,395,"2,039",6.7,7.1,7.6,7.5,7.3,7.2
1005201,11001005201,52.01,N31: LOGAN CIRCLE/SHAW,"6,285","28,520",427,"3,020",6.8,10.6,407,"2,039",6.5,7.1,7.6,7.5,7.3,7.2
1005301,11001005301,53.01,N31: LOGAN CIRCLE/SHAW,"5,033","28,520",538,"3,020",10.7,10.6,382,"2,039",7.6,7.1,7.6,7.5,7.3,7.2
1005500,11001005500,55,N23: GEORGETOWN EAST,"6,901","14,602","1,123","1,528",16.3,10.5,942,"2,353",13.7,16.1,4.6,4.5,4.4,4.3
1005600,11001005600,56,N24: GWU,"6,424","14,536","1,168","2,000",18.2,13.8,"1,189","1,439",18.5,9.9,4.3,4.3,4.2,4.2
1005800,11001005800,58,N12: CHINATOWN,"3,395","20,482",479,"3,814",14.1,18.6,311,"1,983",9.2,9.7,12.7,12.6,12.5,12.6
1005900,11001005900,59,N12: CHINATOWN,"2,499","20,482",585,"3,814",23.4,18.6,119,"1,983",4.8,9.7,12.7,12.6,12.5,12.6
1006202,11001006202,62.02,N/A NATIONAL MALL,60,,0,,0,,0,,0,,,,,
1006400,11001006400,64,N43: SW/WATERFRONT,"2,569","19,143",898,"2,630",35,13.7,330,"2,552",12.8,13.3,5.9,5.8,5.7,5.3
1006500,11001006500,65,N9: CAPITOL HILL,"2,760","15,135",329,809,11.9,5.3,263,"1,964",9.5,13,2.4,2.4,2.2,2.2
1006600,11001006600,66,N9: CAPITOL HILL,"2,061","15,135",76,809,3.7,5.3,446,"1,964",21.6,13,2.4,2.4,2.2,2.2
1006700,11001006700,67,N9: CAPITOL HILL,"4,404","15,135",146,809,3.3,5.3,666,"1,964",15.1,13,2.4,2.4,2.2,2.2
1006801,11001006801,68.01,N25: HILL EAST,"2,380","10,819",263,"1,750",11.1,16.2,207,822,8.7,7.6,4.3,4.3,4.1,4
1006802,11001006802,68.02,N25: HILL EAST,"2,578","10,819",121,"1,750",4.7,16.2,227,822,8.8,7.6,4.3,4.3,4.1,4
1006804,11001006804,68.04,N42: STADIUM ARMORY,"2,654","2,654",118,118,4.4,4.4,87,87,3.3,3.3,68.2,65.2,62.9,61.4
1006900,11001006900,69,N25: HILL EAST,"2,582","10,819",121,"1,750",4.7,16.2,197,822,7.6,7.6,4.3,4.3,4.1,4
1007000,11001007000,70,N9: CAPITOL HILL,"2,725","15,135",55,809,2,5.3,276,"1,964",10.1,13,2.4,2.4,2.2,2.2
